一	nhất
场	tràng|trường
圻	kỳ
圾	ngập|sắc
址	chỉ
坂	phản
均	quân|vận
坊	phường
坌	bộn
坍	than
坎	khảm
坏	phôi|bùi
坐	tọa
块	khối
坚	kiên
坛	đàn
坝	bá
坟	phần
坠	trụy
坡	pha
坤	khôn
坦	thản
坩	kham
坪	bình
坫	điếm
坯	bôi
坰	quynh
坳	ao
坵	khâu
坷	khả
坺	bạt
坻	trì|để
坼	sách
坿	phụ
垂	thùy
垃	lạp
垄	lũng
垆	lư
型	hình
垒	lũy|luật
垓	cai|giai
垛	đóa
垠	ngân
垢	cấu
垣	viên
垤	điệt
垦	khẩn
垩	ác
垫	điếm
垲	khải
垻	bá
埂	canh
埃	ai
埄	bổng|đãng|canh
埋	mai
城	thành
埏	duyên
埒	liệt
埕	trình
埘	thì
埚	qua
埜	dã
埝	niệm
域	vực
埠	phụ
埤	bì
埧	cụ
埭	đại
埴	thực
埶	nghệ
執	chấp
埸	dịch
培	bồi|bậu
基	cơ
埽	tảo
堂	đường
堃	khôn
堅	kiên
堆	đôi
堊	ác
堍	miễn
堑	tiệm
堕	đọa|huy
堙	nhân
堝	qua
堞	điệp
堠	hậu
堡	bảo
堤	đê
堦	giai
堪	kham
堯	nghiêu
堰	yển
報	báo
場	tràng|trường
堵	đổ
塊	khối
塋	doanh
塌	tháp
塍	thăng
塏	khải
塑	tố
塒	thì
塔	tháp
塗	đồ|trà
塘	đường
塚	trủng
塞	tắc|tái
塟	táng
塡	điền|trần|điễn|trấn
填	điền|trần|điễn|trấn
塲	tràng
塵	trần
塹	tiệm
塼	chuyên
塾	thục
塿	lũ
墀	trì
墁	mạn
境	cảnh
墅	thự
墉	dong
墊	điếm
墍	kí
墐	cận
墓	mộ
増	tăng
墙	tường
墜	trụy
墟	khư
墠	thiện
墡	thiện
墦	phiền
墨	mặc
墩	đôn
墮	đọa|huy
墳	phần|phẫn|bổn
墻	tường
墼	kích
墾	khẩn
壁	bích
壅	ủng|ung
壇	đàn
壈	lẫm
壎	huân
壑	hác
壓	áp
壔	đảo
壕	hào
壖	nhuyên
壘	lũy|luật
壙	khoáng
壚	lư
壜	đàm
壞	hoại
壟	lũng
壤	nhưỡng
壩	bá
士	sĩ
壬	nhâm
壮	tráng
壯	tráng
声	thanh
壳	xác
壶	hồ
壹	nhất
壺	hồ
壻	tế
壼	khổn
壽	thọ
夀	thọ
夂	tri
处	xứ|xử
备	bị
夊	tuy
复	phục|phúc
夏	hạ|giạ|giá
夔	quỳ
夕	tịch
外	ngoại
夙	túc
多	đa
夜	dạ
够	cú|hú
夢	mộng|mông
夤	di|dần
夥	khỏa
大	đại|thái
天	thiên
太	thái
夫	phu|phù
夬	quái
夭	yêu|yểu
央	ương
失	thất
夲	bổn
头	đầu
夷	di
夸	khoa|khỏa
夹	giáp
夺	đoạt
夾	giáp
奁	liêm
奂	hoán
奄	yểm|yêm
奇	kì|cơ
奈	nại
奉	phụng|bổng
奋	phấn
奎	khuê
奏	tấu
奐	hoán
契	khế|tiết|khiết|khất
奔	bôn
奕	dịch
奖	tưởng
套	sáo
奘	trang
奚	hề
奠	điện
奡	ngạo
奢	xa
奥	áo|úc
奩	liêm
奪	đoạt
奭	thích
奮	phấn
女	nữ|nứ|nhữ
奴	nô
奶	nãi
奸	gian
奼	xá
好	hảo|hiếu
妁	chước
如	như
妃	phi
妄	vọng
妆	trang
妇	phụ
妈	mụ|ma
妊	nhâm
妍	nghiên
妒	đố
妓	kĩ
妖	yêu
妗	cấm
妙	diệu
妝	trang
妞	nữu
妣	tỉ
妤	dư
妥	thỏa
妨	phương|phướng
妩	vũ
妪	ẩu|ủ
妬	đố
妮	ny
妯	trục|trừu
妲	đát
妺	muội
妻	thê|thế
妾	thiếp
姆	mỗ
姊	tỉ
始	thủy|thí
姍	san|tiên
姐	tả|thư
姑	cô
姒	tự|tỉ
姓	tính
委	ủy|uy
姗	san|tiên
姘	phanh
姙	nhâm
姚	diêu
姜	khương
姝	xu
姞	cật
姣	giảo
姤	cấu
姥	mỗ|mụ
姦	gian
姨	di
姪	điệt
姬	cơ
姮	hằng
姱	khoa
姸	nghiên
姹	xá
姻	nhân
姿	tư
威	uy
娃	oa
娄	lâu|lũ|lu
娅	á
娆	nhiêu|nhiễu|liểu
娇	kiều
娈	luyến
娉	phinh
娌	lý
娑	sa
娓	vỉ
娘	nương
娛	ngu
娜	na
娟	quyên
娠	thần
娣	đễ|đệ
娥	nga
娩	vãn|miễn
娬	vũ
娱	ngu
娲	oa
娶	thú
娼	xướng
婀	a
婁	lâu|lũ|lu
婆	bà
婉	uyển
婕	tiệp
婚	hôn
婢	tì
婥	sước
婦	phụ
婪	lam
婭	á
婴	anh
婵	thiền
婶	thẩm
婷	đình
婺	vụ
媒	môi
媚	mị
媛	viện|viên
媟	tiết
媢	mạo
媧	oa
媪	ảo
媲	bễ
媳	tức
媵	dắng
媸	xuy
媼	ảo
媽	mụ|ma
媾	cấu
媿	quý
嫁	giá
嫂	tẩu
嫄	nguyên
嫉	tật
嫋	niệu
嫌	hiềm
嫏	lang
嫒	ái
嫔	tần
嫖	phiêu
嫗	ẩu|ủ
嫚	mạn
嫜	chương
嫠	ly
嫡	đích
嫦	thường
嫩	nộn
嫫	mô
嫱	tường
嫵	vũ
嫺	nhàn
嬀	quy
嬃	tu
嬈	nhiêu|nhiễu|liểu
嬉	hi
嬋	thiền
嬌	kiều
嬍	mĩ
嬖	bế
嬗	thiện
嬙	tường
嬛	huyên|hoàn
嬝	niệu
嬡	ái
嬪	tần
嬭	nãi|nễ
嬰	anh
嬲	điểu|niễu
嬴	doanh
嬸	thẩm
嬾	lãn
嬿	yến
孀	sương
孃	nương
孌	luyến
子	tử|tý
孑	kiết
孒	quyết|củng
孔	khổng
孕	dựng
字	tự
存	tồn
孙	tôn|tốn
孚	phu
孛	bột
孜	tư
孝	hiếu
孟	mạnh|mãng
季	quý
孤	cô
孥	nô
学	học
孩	hài
孪	loan
孫	tôn|tốn
孰	thục
孱	sàn
孵	phu
孶	tư|tứ
學	học
孺	nhụ
孻	nai
孼	nghiệt
孽	nghiệt
孿	loan
宀	miên
宁	trữ
宂	nhũng
它	tha|xà
宄	quĩ
宅	trạch
宇	vũ
守	thủ|thú
安	an
宋	tống
完	hoàn
宏	hoành
宓	mật|phục
宕	đãng
宗	tông
官	quan
宙	trụ
定	định|đính
宛	uyển|uyên
宜	nghi
宝	bảo
实	thật
宠	sủng
审	thẩm
客	khách
宣	tuyên
室	thất
宥	hựu
宦	hoạn
宪	hiến
宫	cung
宮	cung
宰	tể
害	hại|hạt
宴	yến
宵	tiêu
家	gia|cô
宸	thần
容	dong
宼	khấu
宽	khoan
宾	tân|thấn
